chunk,accuracy,precision,recall,f1
229,0.888,0.9794520547945206,0.7295918367346939,0.8362573099415205
230,0.904,0.926829268292683,0.8085106382978723,0.8636363636363636
231,0.88,0.7751196172248804,0.9257142857142857,0.84375
232,0.938,0.9921259842519685,0.8076923076923077,0.8904593639575972
233,0.914,0.9870967741935484,0.788659793814433,0.8767908309455588
234,0.894,0.8903225806451613,0.7931034482758621,0.8389057750759878
235,0.93,0.9642857142857143,0.8181818181818182,0.8852459016393442
236,0.914,0.9423076923076923,0.8121546961325967,0.8724035608308606
237,0.936,0.9612903225806452,0.8514285714285714,0.9030303030303031
238,0.886,0.9171597633136095,0.7828282828282829,0.8446866485013624
239,0.836,0.7355371900826446,0.9081632653061225,0.8127853881278538
240,0.932,0.9811320754716981,0.8342245989304813,0.9017341040462428
241,0.902,0.9075144508670521,0.8263157894736842,0.8650137741046832
242,0.906,0.9779411764705882,0.751412429378531,0.8498402555910544
243,0.918,0.8690476190476191,0.8848484848484849,0.8768768768768769
244,0.95,0.9459459459459459,0.7692307692307693,0.8484848484848485
245,0.976,0.0,0.0,0.0
246,0.982,0.0,0.0,0.0
247,0.972,0.0,0.0,0.0
248,0.998,0.0,0.0,0.0
249,0.996,0.0,0.0,0.0
250,0.998,0.0,0.0,0.0
251,1.0,0.0,0.0,0.0
252,1.0,0.0,0.0,0.0
253,1.0,0.0,0.0,0.0
254,0.996,0.0,0.0,0.0
255,1.0,0.0,0.0,0.0
256,0.998,0.0,0.0,0.0
257,0.996,0.0,0.0,0.0
258,1.0,0.0,0.0,0.0
259,1.0,0.0,0.0,0.0
260,0.998,0.0,0.0,0.0
261,0.994,0.0,0.0,0.0
262,0.998,0.0,0.0,0.0
263,0.998,0.0,0.0,0.0
264,0.998,0.0,0.0,0.0
265,1.0,0.0,0.0,0.0
266,0.998,0.0,0.0,0.0
267,0.996,0.0,0.0,0.0
268,0.996,0.0,0.0,0.0
269,0.998,0.0,0.0,0.0
270,0.998,0.0,0.0,0.0
271,1.0,0.0,0.0,0.0
272,1.0,0.0,0.0,0.0
273,0.996,0.0,0.0,0.0
274,1.0,0.0,0.0,0.0
275,1.0,0.0,0.0,0.0
276,1.0,0.0,0.0,0.0
277,0.998,0.0,0.0,0.0
278,0.998,0.0,0.0,0.0
279,1.0,0.0,0.0,0.0
280,0.998,0.0,0.0,0.0
281,1.0,0.0,0.0,0.0
282,1.0,0.0,0.0,0.0
283,0.998,0.0,0.0,0.0
284,0.994,0.0,0.0,0.0
285,1.0,0.0,0.0,0.0
286,0.998,0.0,0.0,0.0
287,0.998,0.0,0.0,0.0
288,0.998,0.0,0.0,0.0
289,0.998,0.0,0.0,0.0
290,1.0,0.0,0.0,0.0
291,1.0,0.0,0.0,0.0
292,0.994,0.0,0.0,0.0
293,0.996,0.0,0.0,0.0
294,0.998,0.0,0.0,0.0
295,1.0,0.0,0.0,0.0
296,0.998,0.0,0.0,0.0
297,1.0,0.0,0.0,0.0
298,0.998,0.0,0.0,0.0
299,1.0,0.0,0.0,0.0
300,1.0,0.0,0.0,0.0
301,0.998,0.0,0.0,0.0
302,1.0,0.0,0.0,0.0
303,0.998,0.0,0.0,0.0
304,0.998,0.0,0.0,0.0
305,1.0,0.0,0.0,0.0
306,0.998,0.0,0.0,0.0
307,0.998,0.0,0.0,0.0
308,1.0,0.0,0.0,0.0
309,0.998,0.0,0.0,0.0
310,0.996,0.0,0.0,0.0
311,1.0,0.0,0.0,0.0
312,0.996,0.0,0.0,0.0
313,0.996,0.0,0.0,0.0
314,0.998,0.0,0.0,0.0
315,1.0,0.0,0.0,0.0
316,1.0,0.0,0.0,0.0
317,1.0,0.0,0.0,0.0
318,0.998,0.0,0.0,0.0
319,1.0,0.0,0.0,0.0
320,0.998,0.0,0.0,0.0
321,0.998,0.0,0.0,0.0
322,1.0,0.0,0.0,0.0
323,0.996,0.0,0.0,0.0
324,1.0,0.0,0.0,0.0
325,0.998,0.0,0.0,0.0
326,0.996,0.0,0.0,0.0
327,0.998,0.0,0.0,0.0
328,0.998,0.0,0.0,0.0
329,0.998,0.0,0.0,0.0
330,0.996,0.0,0.0,0.0
331,0.996,0.0,0.0,0.0
332,1.0,0.0,0.0,0.0
333,1.0,0.0,0.0,0.0
334,1.0,0.0,0.0,0.0
335,1.0,0.0,0.0,0.0
336,0.996,0.0,0.0,0.0
337,1.0,0.0,0.0,0.0
338,1.0,0.0,0.0,0.0
339,1.0,0.0,0.0,0.0
340,1.0,0.0,0.0,0.0
341,0.998,0.0,0.0,0.0
342,0.998,0.0,0.0,0.0
343,0.994,0.0,0.0,0.0
344,0.996,0.0,0.0,0.0
345,1.0,0.0,0.0,0.0
346,1.0,0.0,0.0,0.0
347,0.998,0.0,0.0,0.0
348,0.998,0.0,0.0,0.0
349,1.0,0.0,0.0,0.0
350,1.0,0.0,0.0,0.0
351,0.9970674486803519,0.0,0.0,0.0
